"","pldel","birattnd","mager8","ormoth","mrace","meduc6","dmar","mplbir","mpre5","adequacy","orfath","frace","gestat10","anemia","cardiac","lung","diabetes","herpes","hydra","hemo","chyper","phyper","eclamp","incervix","pre4000","preterm","renal","rh","uterine","othermr","tobacco","alcohol","cigar6","drink5","nprevistq","dfageq","feduc6","dlivord_min","dtotord_min","mplbir_reg","T","target","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,9,13,10,7,0.409090909090909,0.588235294117647,-0.179144385026738,-0.45,0.270855614973262,39
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,4,6,26,6,13,0.1875,0.315789473684211,-0.128289473684211,-0.0911330049261084,0.0371564687581021,51
"3",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,68,253,53,179,0.21183800623053,0.228448275862069,-0.0166102696315394,-0.111446017929063,0.0948357482975239,553
"4",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,12,18,86,20,55,0.173076923076923,0.266666666666667,-0.0935897435897436,-0.245698924731183,0.152109181141439,179
"5",NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,13,9,33,7,13,0.214285714285714,0.35,-0.135714285714286,0.134285714285714,0.27,62
"6",NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15,28,95,27,55,0.227642276422764,0.329268292682927,-0.101626016260163,0.0162337662337662,0.117859782493929,205
"7",NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,16,23,74,16,59,0.237113402061856,0.213333333333333,0.0237800687285223,0.144523940561365,0.120743871832843,172
"8",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,19,1,46,3,45,0.0212765957446809,0.0625,-0.0412234042553191,-0.0857142857142857,0.0444908814589666,95
"9",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,20,4,195,7,132,0.0201005025125628,0.0503597122302158,-0.030259209717653,-0.00709247345167041,0.0231667362659826,338
"10",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,23,0,32,0,31,0,0,0,-0.0714285714285714,0.0714285714285714,63
"11",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,24,0,28,1,25,0,0.0384615384615385,-0.0384615384615385,0.025,0.0634615384615385,54
"12",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,27,1,81,0,51,0.0121951219512195,0,0.0121951219512195,-0.0192307692307692,0.0314258911819887,133
"13",NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,29,1,27,1,17,0.0357142857142857,0.0555555555555556,-0.0198412698412698,0,0.0198412698412698,46
"14",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,NA,NA,NA,30,2,40,0,36,0.0476190476190476,0,0.0476190476190476,0.0666666666666667,0.019047619047619,78
