"","pldel","birattnd","mager8","ormoth","mrace","meduc6","dmar","mplbir","mpre5","adequacy","orfath","frace","gestat10","anemia","cardiac","lung","diabetes","herpes","hydra","hemo","chyper","phyper","eclamp","incervix","pre4000","preterm","renal","rh","uterine","othermr","tobacco","alcohol","cigar6","drink5","nprevistq","dfageq","feduc6","dlivord_min","dtotord_min","mplbir_reg","T","target","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,42,22,24,0.34375,0.478260869565217,-0.134510869565217,-0.313971742543171,0.179460872977954,110
"2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,112,457,102,277,0.196836555360281,0.269129287598945,-0.0722927322386634,-0.0779570725059622,0.00566434026729876,948
"3",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,1,0,NA,NA,10,7,19,7,18,0.269230769230769,0.28,-0.0107692307692308,-0.219230769230769,0.208461538461538,51
"4",NA,0,NA,0,1,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,1,1,NA,NA,11,14,32,8,13,0.304347826086957,0.380952380952381,-0.0766045548654244,0.0933014354066986,0.169905990272123,67
"5",NA,0,NA,0,1,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,13,10,24,9,16,0.294117647058824,0.36,-0.0658823529411764,0.0192307692307692,0.0851131221719457,59
"6",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,14,14,39,8,28,0.264150943396226,0.222222222222222,0.0419287211740042,0.25552608311229,0.213597361938286,89
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,0,NA,1,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,18,3,45,0,34,0.0625,0,0.0625,-0.161656267725468,0.224156267725468,82
"8",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,19,1,43,0,36,0.0227272727272727,0,0.0227272727272727,-0.0303030303030303,0.053030303030303,80
"9",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,0,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,20,0,32,0,18,0,0,0,0.0571428571428571,0.0571428571428571,50
"10",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,23,2,45,0,48,0.0425531914893617,0,0.0425531914893617,-0.111111111111111,0.153664302600473,95
"11",NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,25,2,95,0,61,0.0206185567010309,0,0.0206185567010309,-0.0133333333333333,0.0339518900343643,158
